Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Soil_Type,Rainfall,Crop
90,40,40,27,80,Loamy,1200,Rice
85,35,38,25,75,Loamy,900,Wheat
70,20,30,22,60,Clay,700,Barley
95,45,45,30,85,Sandy,1500,Corn
60,30,25,24,65,Sandy,600,Millet
78,35,33,26,70,Loamy,950,Soybean
88,40,40,28,78,Loamy,1250,Rice
92,42,43,29,82,Loamy,1300,Rice
84,34,39,24,74,Loamy,850,Wheat
69,22,28,21,58,Clay,650,Barley
94,44,44,31,86,Sandy,1550,Corn
61,28,23,23,63,Sandy,620,Millet
77,36,34,27,72,Loamy,980,Soybean
83,38,37,26,Loamy,1200,Rice
72,25,31,22,62,Clay,720,Barley
89,41,42,30,81,Sandy,1480,Corn
66,29,26,24,68,Sandy,670,Millet
80,32,35,26,69,Loamy,940,Soybean
87,39,38,27,Loamy,1100,Wheat
90,36,39,28,79,Loamy,1220,Rice
75,26,29,23,64,Clay,730,Barley
93,43,46,32,86,Sandy,1600,Corn
63,27,24,22,62,Sandy,640,Millet
79,34,36,25,Loamy,970,Soybean
86,37,39,27,Loamy,1050,Wheat
91,39,41,29,Loamy,1280,Rice
82,33,36,25,Loamy,900,Wheat
68,21,29,20,57,Clay,600,Barley
97,47,48,33,1600,Sandy,1700,Corn
59,29,22,22,60,Sandy,610,Millet
76,37,35,27,Loamy,990,Soybean
89,42,41,28,Loamy,1240,Rice
93,41,44,30,Loamy,1350,Rice
85,36,38,23,Loamy,920,Wheat
71,23,30,21,Clay,680,Barley
96,46,47,32,Sandy,1650,Corn
62,26,25,23,Sandy,630,Millet
78,33,34,25,Loamy,960,Soybean
84,39,36,27,Loamy,1210,Rice
73,24,32,22,Clay,710,Barley
88,40,43,31,Sandy,1520,Corn
65,28,27,25,Sandy,660,Millet
81,31,36,25,Loamy,930,Soybean
86,38,37,26,Loamy,1080,Wheat
92,37,40,29,Loamy,1290,Rice
74,27,30,23,Clay,740,Barley
95,44,45,33,Sandy,1580,Corn
64,25,23,21,Sandy,620,Millet
80,35,37,26,Loamy,950,Soybean
85,36,38,26,Loamy,1000,Wheat
89,41,40,27,Loamy,1230,Rice
76,28,31,22,Clay,690,Barley
94,45,46,32,Sandy,1620,Corn
62,29,24,24,Sandy,650,Millet
77,34,35,25,Loamy,980,Soybean
82,37,38,27,Loamy,910,Wheat
91,38,39,28,Loamy,1270,Rice
71,22,29,20,Clay,600,Barley
96,47,48,34,Sandy,1720,Corn
60,31,23,23,Sandy,600,Millet
79,36,36,26,Loamy,970,Soybean
87,39,39,27,Loamy,1120,Wheat
90,40,41,29,Loamy,1260,Rice
75,25,30,21,Clay,720,Barley
92,43,45,31,Sandy,1540,Corn
65,27,25,22,Sandy,630,Millet
81,33,35,24,Loamy,920,Soybean
85,35,37,25,Loamy,980,Wheat
88,39,40,28,Loamy,1210,Rice
73,26,32,23,Clay,700,Barley
95,46,47,33,Sandy,1680,Corn
61,28,22,22,Sandy,610,Millet
78,35,34,25,Loamy,960,Soybean
83,38,36,26,Loamy,1020,Wheat
